game_id,season,week,gameday,gametime,game_type,team,opp,points_for,points_against,location,overtime,spread_line,total_line,home_moneyline,away_moneyline,home_rest,away_rest,surface,roof,is_home,date,season_week,spread_line_signed,point_diff,pf_avg_3,pa_avg_3,pd_avg_3,pf_avg_5,pa_avg_5,pd_avg_5,pf_avg_8,pa_avg_8,pd_avg_8,diff_pf_avg_3,diff_pa_avg_3,diff_pd_avg_3,diff_pf_avg_5,diff_pa_avg_5,diff_pd_avg_5,diff_pf_avg_8,diff_pa_avg_8,diff_pd_avg_8,rest_advantage,beat_spread
2009_01_TEN_PIT,2009,1,2009-09-10,20:30,REG,PIT,TEN,13.0,10.0,Home,1.0,6.5,35.5,-260.0,228.0,7,7,dessograss,outdoors,1,2009-09-10,2009-1,6.5,3.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_MIA_ATL,2009,1,2009-09-13,13:00,REG,ATL,MIA,19.0,7.0,Home,0.0,4.0,44.0,-210.0,190.0,7,7,fieldturf,dome,1,2009-09-13,2009-1,4.0,12.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_KC_BAL,2009,1,2009-09-13,13:00,REG,BAL,KC,38.0,24.0,Home,0.0,13.0,36.5,-700.0,570.0,7,7,sportturf,outdoors,1,2009-09-13,2009-1,13.0,14.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_PHI_CAR,2009,1,2009-09-13,13:00,REG,CAR,PHI,10.0,38.0,Home,0.0,-1.0,43.5,115.0,-125.0,7,7,grass,outdoors,1,2009-09-13,2009-1,-1.0,-28.0,,,,,,,,,,,,,,,,,,,0,False
2009_01_DEN_CIN,2009,1,2009-09-13,13:00,REG,CIN,DEN,7.0,12.0,Home,0.0,4.5,41.0,-222.0,196.0,7,7,fieldturf,outdoors,1,2009-09-13,2009-1,4.5,-5.0,,,,,,,,,,,,,,,,,,,0,False
2009_01_MIN_CLE,2009,1,2009-09-13,13:00,REG,CLE,MIN,20.0,34.0,Home,0.0,-4.0,39.5,189.0,-215.0,7,7,grass,outdoors,1,2009-09-13,2009-1,-4.0,-14.0,,,,,,,,,,,,,,,,,,,0,False
2009_01_NYJ_HOU,2009,1,2009-09-13,13:00,REG,HOU,NYJ,7.0,24.0,Home,0.0,4.5,44.5,-227.0,201.0,7,7,grass,closed,1,2009-09-13,2009-1,4.5,-17.0,,,,,,,,,,,,,,,,,,,0,False
2009_01_JAX_IND,2009,1,2009-09-13,13:00,REG,IND,JAX,14.0,12.0,Home,0.0,6.5,45.0,-270.0,238.0,7,7,fieldturf,open,1,2009-09-13,2009-1,6.5,2.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_DET_NO,2009,1,2009-09-13,13:00,REG,NO,DET,45.0,27.0,Home,0.0,14.0,50.0,-840.0,660.0,7,7,fieldturf,dome,1,2009-09-13,2009-1,14.0,18.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_DAL_TB,2009,1,2009-09-13,13:00,REG,TB,DAL,21.0,34.0,Home,0.0,-4.5,40.0,204.0,-230.0,7,7,grass,outdoors,1,2009-09-13,2009-1,-4.5,-13.0,,,,,,,,,,,,,,,,,,,0,False
2009_01_SF_ARI,2009,1,2009-09-13,16:15,REG,ARI,SF,16.0,20.0,Home,0.0,5.0,45.5,-233.0,207.0,7,7,grass,closed,1,2009-09-13,2009-1,5.0,-4.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_WAS_NYG,2009,1,2009-09-13,16:15,REG,NYG,WAS,23.0,17.0,Home,0.0,6.0,37.0,,,7,7,fieldturf,outdoors,1,2009-09-13,2009-1,6.0,6.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_STL_SEA,2009,1,2009-09-13,16:15,REG,SEA,STL,28.0,0.0,Home,0.0,7.0,41.0,,,7,7,fieldturf,outdoors,1,2009-09-13,2009-1,7.0,28.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_CHI_GB,2009,1,2009-09-13,20:20,REG,GB,CHI,21.0,15.0,Home,0.0,5.0,47.0,,,7,7,grass,outdoors,1,2009-09-13,2009-1,5.0,6.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_BUF_NE,2009,1,2009-09-14,19:00,REG,NE,BUF,25.0,24.0,Home,0.0,13.5,47.5,,,7,7,fieldturf,outdoors,1,2009-09-14,2009-1,13.5,1.0,,,,,,,,,,,,,,,,,,,0,True
2009_01_SD_OAK,2009,1,2009-09-14,22:15,REG,OAK,SD,20.0,24.0,Home,0.0,-10.0,43.0,,,7,7,grass,outdoors,1,2009-09-14,2009-1,-10.0,-4.0,,,,,,,,,,,,,,,,,,,0,False
2009_02_CAR_ATL,2009,2,2009-09-20,13:00,REG,ATL,CAR,28.0,20.0,Home,0.0,5.5,43.5,,,7,7,fieldturf,dome,1,2009-09-20,2009-2,5.5,8.0,,,,,,,,,,,,,,,,,,,0,True
2009_02_MIN_DET,2009,2,2009-09-20,13:00,REG,DET,MIN,13.0,27.0,Home,0.0,-10.0,45.0,405.0,-475.0,7,7,fieldturf,dome,1,2009-09-20,2009-2,-10.0,-14.0,,,,,,,,,,,,,,,,,,,0,False
2009_02_CIN_GB,2009,2,2009-09-20,13:00,REG,GB,CIN,24.0,31.0,Home,0.0,7.5,42.0,,,7,7,grass,outdoors,1,2009-09-20,2009-2,7.5,-7.0,,,,,,,,,,,,,,,,,,,0,True
2009_02_ARI_JAX,2009,2,2009-09-20,13:00,REG,JAX,ARI,17.0,31.0,Home,0.0,3.0,42.5,-157.0,142.0,7,7,grass,outdoors,1,2009-09-20,2009-2,3.0,-14.0,,,,,,,,,,,,,,,,,,,0,False
2009_02_OAK_KC,2009,2,2009-09-20,13:00,REG,KC,OAK,10.0,13.0,Home,0.0,1.5,40.0,,,7,6,grass,outdoors,1,2009-09-20,2009-2,1.5,-3.0,,,,,,,,,,,,,,,,,,,1,False
2009_02_NE_NYJ,2009,2,2009-09-20,13:00,REG,NYJ,NE,16.0,9.0,Home,0.0,-3.5,45.0,,,7,6,fieldturf,outdoors,1,2009-09-20,2009-2,-3.5,7.0,,,,,,,,,,,,,,,,,,,1,True
2009_02_NO_PHI,2009,2,2009-09-20,13:00,REG,PHI,NO,22.0,48.0,Home,0.0,-2.5,46.0,,,7,7,grass,outdoors,1,2009-09-20,2009-2,-2.5,-26.0,,,,,,,,,,,,,,,,,,,0,False
2009_02_HOU_TEN,2009,2,2009-09-20,13:00,REG,TEN,HOU,31.0,34.0,Home,0.0,7.0,40.5,,,10,7,grass,outdoors,1,2009-09-20,2009-2,7.0,-3.0,,,,,,,,,,,,,,,,,,,3,True
2009_02_STL_WAS,2009,2,2009-09-20,13:00,REG,WAS,STL,9.0,7.0,Home,0.0,10.0,37.0,-500.0,420.0,7,7,grass,outdoors,1,2009-09-20,2009-2,10.0,2.0,,,,,,,,,,,,,,,,,,,0,True
2009_02_TB_BUF,2009,2,2009-09-20,16:05,REG,BUF,TB,33.0,20.0,Home,0.0,4.5,42.0,-200.0,180.0,6,7,astroplay,outdoors,1,2009-09-20,2009-2,4.5,13.0,,,,,,,,,,,,,,,,,,,-1,True
2009_02_SEA_SF,2009,2,2009-09-20,16:05,REG,SF,SEA,23.0,10.0,Home,0.0,1.0,39.5,-108.0,-102.0,7,7,grass,outdoors,1,2009-09-20,2009-2,1.0,13.0,,,,,,,,,,,,,,,,,,,0,True
2009_02_PIT_CHI,2009,2,2009-09-20,16:15,REG,CHI,PIT,17.0,14.0,Home,0.0,-1.0,37.5,121.0,-133.0,7,10,grass,outdoors,1,2009-09-20,2009-2,-1.0,3.0,,,,,,,,,,,,,,,,,,,-3,True
2009_02_CLE_DEN,2009,2,2009-09-20,16:15,REG,DEN,CLE,27.0,6.0,Home,0.0,3.0,38.5,,,7,7,grass,outdoors,1,2009-09-20,2009-2,3.0,21.0,,,,,,,,,,,,,,,,,,,0,True
2009_02_BAL_SD,2009,2,2009-09-20,16:15,REG,SD,BAL,26.0,31.0,Home,0.0,3.0,40.0,-140.0,128.0,6,7,grass,outdoors,1,2009-09-20,2009-2,3.0,-5.0,,,,,,,,,,,,,,,,,,,-1,False
2009_02_NYG_DAL,2009,2,2009-09-20,20:20,REG,DAL,NYG,31.0,33.0,Home,0.0,3.0,45.5,,,7,7,fieldturf,open,1,2009-09-20,2009-2,3.0,-2.0,,,,,,,,,,,,,,,,,,,0,True
2009_02_IND_MIA,2009,2,2009-09-21,20:30,REG,MIA,IND,23.0,27.0,Home,0.0,-3.0,41.0,142.0,-152.0,8,8,grass,outdoors,1,2009-09-21,2009-2,-3.0,-4.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_CLE_BAL,2009,3,2009-09-27,13:00,REG,BAL,CLE,34.0,3.0,Home,0.0,13.5,38.5,-750.0,620.0,7,7,sportturf,outdoors,1,2009-09-27,2009-3,13.5,31.0,,,,,,,,,,,,,,,,,,,0,True
2009_03_WAS_DET,2009,3,2009-09-27,13:00,REG,DET,WAS,19.0,14.0,Home,0.0,-6.5,39.5,228.0,-260.0,7,7,fieldturf,dome,1,2009-09-27,2009-3,-6.5,5.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_JAX_HOU,2009,3,2009-09-27,13:00,REG,HOU,JAX,24.0,31.0,Home,0.0,4.0,47.0,-200.0,180.0,7,7,grass,closed,1,2009-09-27,2009-3,4.0,-7.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_SF_MIN,2009,3,2009-09-27,13:00,REG,MIN,SF,27.0,24.0,Home,0.0,7.0,39.0,-275.0,243.0,7,7,fieldturf,dome,1,2009-09-27,2009-3,7.0,3.0,,,,,,,,,,,,,,,,,,,0,True
2009_03_ATL_NE,2009,3,2009-09-27,13:00,REG,NE,ATL,26.0,10.0,Home,0.0,4.5,45.5,-220.0,194.0,7,7,fieldturf,outdoors,1,2009-09-27,2009-3,4.5,16.0,,,,,,,,,,,,,,,,,,,0,True
2009_03_TEN_NYJ,2009,3,2009-09-27,13:00,REG,NYJ,TEN,24.0,17.0,Home,0.0,1.0,36.5,-112.0,102.0,7,7,fieldturf,outdoors,1,2009-09-27,2009-3,1.0,7.0,,,,,,,,,,,,,,,,,,,0,True
2009_03_KC_PHI,2009,3,2009-09-27,13:00,REG,PHI,KC,34.0,14.0,Home,0.0,7.5,38.5,-320.0,280.0,7,7,grass,outdoors,1,2009-09-27,2009-3,7.5,20.0,,,,,,,,,,,,,,,,,,,0,True
2009_03_GB_STL,2009,3,2009-09-27,13:00,REG,STL,GB,17.0,36.0,Home,0.0,-6.5,42.5,233.0,-265.0,7,7,fieldturf,dome,1,2009-09-27,2009-3,-6.5,-19.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_NYG_TB,2009,3,2009-09-27,13:00,REG,TB,NYG,0.0,24.0,Home,0.0,-6.0,46.0,219.0,-245.0,7,7,grass,outdoors,1,2009-09-27,2009-3,-6.0,-24.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_NO_BUF,2009,3,2009-09-27,16:05,REG,BUF,NO,7.0,27.0,Home,0.0,-5.5,51.5,214.0,-240.0,7,7,astroplay,outdoors,1,2009-09-27,2009-3,-5.5,-20.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_CHI_SEA,2009,3,2009-09-27,16:05,REG,SEA,CHI,19.0,25.0,Home,0.0,-1.0,37.5,130.0,-142.0,7,7,fieldturf,outdoors,1,2009-09-27,2009-3,-1.0,-6.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_PIT_CIN,2009,3,2009-09-27,16:15,REG,CIN,PIT,23.0,20.0,Home,0.0,-3.5,36.5,157.0,-172.0,7,7,fieldturf,outdoors,1,2009-09-27,2009-3,-3.5,3.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_DEN_OAK,2009,3,2009-09-27,16:15,REG,OAK,DEN,3.0,23.0,Home,0.0,-1.0,38.5,118.0,-128.0,7,7,grass,outdoors,1,2009-09-27,2009-3,-1.0,-20.0,,,,,,,,,,,,,,,,,,,0,False
2009_03_MIA_SD,2009,3,2009-09-27,16:15,REG,SD,MIA,23.0,13.0,Home,0.0,5.5,45.0,-240.0,214.0,7,6,grass,outdoors,1,2009-09-27,2009-3,5.5,10.0,,,,,,,,,,,,,,,,,,,1,True
2009_03_IND_ARI,2009,3,2009-09-27,20:20,REG,ARI,IND,10.0,31.0,Home,0.0,3.0,49.0,-159.0,144.0,7,6,grass,closed,1,2009-09-27,2009-3,3.0,-21.0,,,,,,,,,,,,,,,,,,,1,False
2009_03_CAR_DAL,2009,3,2009-09-28,20:30,REG,DAL,CAR,21.0,7.0,Home,0.0,9.0,48.0,-400.0,350.0,8,8,fieldturf,closed,1,2009-09-28,2009-3,9.0,14.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_DET_CHI,2009,4,2009-10-04,13:00,REG,CHI,DET,48.0,24.0,Home,0.0,9.5,43.0,-500.0,420.0,7,7,grass,outdoors,1,2009-10-04,2009-4,9.5,24.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_CIN_CLE,2009,4,2009-10-04,13:00,REG,CLE,CIN,20.0,23.0,Home,1.0,-6.0,37.5,228.0,-260.0,7,7,grass,outdoors,1,2009-10-04,2009-4,-6.0,-3.0,,,,,,,,,,,,,,,,,,,0,False
2009_04_OAK_HOU,2009,4,2009-10-04,13:00,REG,HOU,OAK,29.0,6.0,Home,0.0,9.0,42.5,-385.0,335.0,7,7,grass,closed,1,2009-10-04,2009-4,9.0,23.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_SEA_IND,2009,4,2009-10-04,13:00,REG,IND,SEA,34.0,17.0,Home,0.0,10.0,43.5,-530.0,450.0,7,7,fieldturf,open,1,2009-10-04,2009-4,10.0,17.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_TEN_JAX,2009,4,2009-10-04,13:00,REG,JAX,TEN,37.0,17.0,Home,0.0,-3.0,42.0,161.0,-176.0,7,7,grass,outdoors,1,2009-10-04,2009-4,-3.0,20.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_NYG_KC,2009,4,2009-10-04,13:00,REG,KC,NYG,16.0,27.0,Home,0.0,-9.0,43.0,335.0,-385.0,7,7,grass,outdoors,1,2009-10-04,2009-4,-9.0,-11.0,,,,,,,,,,,,,,,,,,,0,False
2009_04_BAL_NE,2009,4,2009-10-04,13:00,REG,NE,BAL,27.0,21.0,Home,0.0,1.0,45.5,-135.0,123.0,7,7,fieldturf,outdoors,1,2009-10-04,2009-4,1.0,6.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_TB_WAS,2009,4,2009-10-04,13:00,REG,WAS,TB,16.0,13.0,Home,0.0,9.5,36.5,-400.0,350.0,7,7,grass,outdoors,1,2009-10-04,2009-4,9.5,3.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_BUF_MIA,2009,4,2009-10-04,16:05,REG,MIA,BUF,38.0,10.0,Home,0.0,1.0,37.5,-121.0,111.0,7,7,grass,outdoors,1,2009-10-04,2009-4,1.0,28.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_NYJ_NO,2009,4,2009-10-04,16:05,REG,NO,NYJ,24.0,10.0,Home,0.0,7.5,47.0,-340.0,300.0,7,7,fieldturf,dome,1,2009-10-04,2009-4,7.5,14.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_DAL_DEN,2009,4,2009-10-04,16:15,REG,DEN,DAL,17.0,10.0,Home,0.0,-1.0,43.5,131.0,-143.0,7,6,grass,outdoors,1,2009-10-04,2009-4,-1.0,7.0,,,,,,,,,,,,,,,,,,,1,True
2009_04_STL_SF,2009,4,2009-10-04,16:15,REG,SF,STL,35.0,0.0,Home,0.0,9.5,36.5,-400.0,350.0,7,7,grass,outdoors,1,2009-10-04,2009-4,9.5,35.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_SD_PIT,2009,4,2009-10-04,20:20,REG,PIT,SD,38.0,28.0,Home,0.0,5.5,43.0,-240.0,214.0,7,7,dessograss,outdoors,1,2009-10-04,2009-4,5.5,10.0,,,,,,,,,,,,,,,,,,,0,True
2009_04_GB_MIN,2009,4,2009-10-05,20:30,REG,MIN,GB,30.0,23.0,Home,0.0,4.5,46.0,-205.0,185.0,8,8,fieldturf,dome,1,2009-10-05,2009-4,4.5,7.0,,,,,,,,,,,,,,,,,,,0,True
2009_05_CIN_BAL,2009,5,2009-10-11,13:00,REG,BAL,CIN,14.0,17.0,Home,0.0,9.0,42.0,-442.0,382.0,7,7,sportturf,outdoors,1,2009-10-11,2009-5,9.0,-3.0,,,,,,,,,,,,,,,,,,,0,True
2009_05_CLE_BUF,2009,5,2009-10-11,13:00,REG,BUF,CLE,3.0,6.0,Home,0.0,6.0,41.5,-240.0,214.0,7,7,astroplay,outdoors,1,2009-10-11,2009-5,6.0,-3.0,,,,,,,,,,,,,,,,,,,0,True
2009_05_WAS_CAR,2009,5,2009-10-11,13:00,REG,CAR,WAS,20.0,17.0,Home,0.0,5.0,38.0,-225.0,199.0,13,7,grass,outdoors,1,2009-10-11,2009-5,5.0,3.0,,,,,,,,,,,,,,,,,,,6,True
2009_05_PIT_DET,2009,5,2009-10-11,13:00,REG,DET,PIT,20.0,28.0,Home,0.0,-11.0,44.0,470.0,-600.0,7,7,fieldturf,dome,1,2009-10-11,2009-5,-11.0,-8.0,,,,,,,,,,,,,,,,,,,0,False
